#si 50
#nm 201
energy=207;biomass=63980;fitness=65980;lowestEnergy=0;highestEnergy=986;meanEnergy=289.032;meanBiomass=32211.669;nGenes=27;nSites=49
energy=351;biomass=58090;fitness=60090;lowestEnergy=0;highestEnergy=992;meanEnergy=284.875;meanBiomass=29290.410;nGenes=29;nSites=64
energy=310;biomass=62740;fitness=64740;lowestEnergy=0;highestEnergy=976;meanEnergy=289.029;meanBiomass=32047.166;nGenes=24;nSites=55
energy=316;biomass=73820;fitness=75820;lowestEnergy=0;highestEnergy=1001;meanEnergy=256.787;meanBiomass=37449.715;nGenes=25;nSites=59
energy=347;biomass=75630;fitness=77630;lowestEnergy=0;highestEnergy=980;meanEnergy=279.188;meanBiomass=38636.722;nGenes=22;nSites=56
energy=294;biomass=83570;fitness=85570;lowestEnergy=0;highestEnergy=1001;meanEnergy=292.365;meanBiomass=43149.545;nGenes=22;nSites=43
energy=296;biomass=83580;fitness=85580;lowestEnergy=0;highestEnergy=992;meanEnergy=300.025;meanBiomass=42043.533;nGenes=20;nSites=51
energy=332;biomass=7880;fitness=9880;lowestEnergy=0;highestEnergy=995;meanEnergy=297.649;meanBiomass=4154.108;nGenes=21;nSites=63
energy=351;biomass=11000;fitness=13000;lowestEnergy=0;highestEnergy=1009;meanEnergy=274.914;meanBiomass=5474.268;nGenes=20;nSites=54
energy=232;biomass=12020;fitness=14020;lowestEnergy=0;highestEnergy=1014;meanEnergy=257.032;meanBiomass=6614.338;nGenes=22;nSites=48
energy=388;biomass=12440;fitness=14440;lowestEnergy=0;highestEnergy=984;meanEnergy=267.398;meanBiomass=6086.297;nGenes=22;nSites=78
energy=352;biomass=27380;fitness=29380;lowestEnergy=0;highestEnergy=1007;meanEnergy=311.861;meanBiomass=13496.382;nGenes=21;nSites=46
energy=372;biomass=29300;fitness=31300;lowestEnergy=0;highestEnergy=989;meanEnergy=291.857;meanBiomass=14968.976;nGenes=21;nSites=51
energy=484;biomass=32430;fitness=34430;lowestEnergy=0;highestEnergy=993;meanEnergy=286.516;meanBiomass=16354.993;nGenes=20;nSites=48
energy=369;biomass=31450;fitness=33450;lowestEnergy=0;highestEnergy=1017;meanEnergy=320.105;meanBiomass=15518.111;nGenes=21;nSites=46
energy=373;biomass=44840;fitness=46840;lowestEnergy=0;highestEnergy=926;meanEnergy=285.400;meanBiomass=23000.855;nGenes=22;nSites=66
energy=416;biomass=40050;fitness=42050;lowestEnergy=0;highestEnergy=976;meanEnergy=313.411;meanBiomass=19815.232;nGenes=22;nSites=88
energy=363;biomass=41960;fitness=43960;lowestEnergy=0;highestEnergy=993;meanEnergy=314.311;meanBiomass=20725.037;nGenes=22;nSites=65
