#si 50
#nm 101
energy=380;biomass=7490;fitness=9490;lowestEnergy=0;highestEnergy=994;meanEnergy=274.664;meanBiomass=3778.546;nGenes=21;nSites=18
energy=349;biomass=11080;fitness=13080;lowestEnergy=0;highestEnergy=1020;meanEnergy=280.423;meanBiomass=5499.695;nGenes=20;nSites=20
energy=335;biomass=7800;fitness=9800;lowestEnergy=0;highestEnergy=994;meanEnergy=307.667;meanBiomass=3879.200;nGenes=20;nSites=17
energy=373;biomass=7640;fitness=9640;lowestEnergy=0;highestEnergy=1012;meanEnergy=252.320;meanBiomass=3782.474;nGenes=20;nSites=13
energy=388;biomass=6470;fitness=8470;lowestEnergy=0;highestEnergy=993;meanEnergy=300.283;meanBiomass=3098.626;nGenes=20;nSites=14
energy=341;biomass=7180;fitness=9180;lowestEnergy=0;highestEnergy=991;meanEnergy=293.184;meanBiomass=3819.425;nGenes=23;nSites=20
energy=374;biomass=6870;fitness=8870;lowestEnergy=0;highestEnergy=1003;meanEnergy=297.443;meanBiomass=3555.762;nGenes=22;nSites=26
energy=204;biomass=7820;fitness=9820;lowestEnergy=0;highestEnergy=996;meanEnergy=279.990;meanBiomass=3857.081;nGenes=22;nSites=19
energy=312;biomass=7660;fitness=9660;lowestEnergy=0;highestEnergy=997;meanEnergy=281.559;meanBiomass=3906.522;nGenes=23;nSites=22
energy=236;biomass=8320;fitness=10320;lowestEnergy=0;highestEnergy=981;meanEnergy=287.834;meanBiomass=3937.906;nGenes=22;nSites=19
energy=295;biomass=6730;fitness=8730;lowestEnergy=0;highestEnergy=982;meanEnergy=255.215;meanBiomass=3310.255;nGenes=22;nSites=26
energy=280;biomass=6890;fitness=8890;lowestEnergy=0;highestEnergy=988;meanEnergy=238.148;meanBiomass=3309.400;nGenes=24;nSites=28
energy=302;biomass=6880;fitness=8880;lowestEnergy=0;highestEnergy=978;meanEnergy=247.547;meanBiomass=3501.844;nGenes=21;nSites=20
energy=332;biomass=7920;fitness=9920;lowestEnergy=0;highestEnergy=994;meanEnergy=257.868;meanBiomass=3820.130;nGenes=21;nSites=15
energy=184;biomass=8580;fitness=10580;lowestEnergy=0;highestEnergy=1002;meanEnergy=259.059;meanBiomass=4156.032;nGenes=20;nSites=35
energy=350;biomass=7060;fitness=9060;lowestEnergy=0;highestEnergy=999;meanEnergy=282.816;meanBiomass=3514.313;nGenes=20;nSites=32
energy=276;biomass=7550;fitness=9550;lowestEnergy=0;highestEnergy=988;meanEnergy=269.015;meanBiomass=3926.652;nGenes=20;nSites=38
energy=353;biomass=7020;fitness=9020;lowestEnergy=0;highestEnergy=1022;meanEnergy=283.010;meanBiomass=3633.573;nGenes=21;nSites=40
energy=315;biomass=7340;fitness=9340;lowestEnergy=0;highestEnergy=997;meanEnergy=281.313;meanBiomass=3633.688;nGenes=21;nSites=38
energy=330;biomass=7530;fitness=9530;lowestEnergy=0;highestEnergy=1018;meanEnergy=289.480;meanBiomass=3960.215;nGenes=20;nSites=44
energy=310;biomass=6770;fitness=8770;lowestEnergy=0;highestEnergy=988;meanEnergy=273.588;meanBiomass=3262.639;nGenes=20;nSites=30
energy=386;biomass=7770;fitness=9770;lowestEnergy=0;highestEnergy=994;meanEnergy=282.453;meanBiomass=3929.335;nGenes=20;nSites=36
energy=321;biomass=6500;fitness=8500;lowestEnergy=0;highestEnergy=997;meanEnergy=264.848;meanBiomass=3071.079;nGenes=20;nSites=17
energy=324;biomass=6670;fitness=8670;lowestEnergy=0;highestEnergy=978;meanEnergy=273.091;meanBiomass=3691.884;nGenes=21;nSites=25
energy=312;biomass=7380;fitness=9380;lowestEnergy=0;highestEnergy=987;meanEnergy=288.794;meanBiomass=3727.211;nGenes=21;nSites=21
energy=219;biomass=7890;fitness=9890;lowestEnergy=0;highestEnergy=984;meanEnergy=244.348;meanBiomass=4048.096;nGenes=20;nSites=18
energy=347;biomass=7890;fitness=9890;lowestEnergy=0;highestEnergy=1014;meanEnergy=251.817;meanBiomass=3485.462;nGenes=21;nSites=24
energy=252;biomass=9480;fitness=11480;lowestEnergy=0;highestEnergy=982;meanEnergy=267.556;meanBiomass=4735.147;nGenes=20;nSites=19
energy=337;biomass=6720;fitness=8720;lowestEnergy=0;highestEnergy=1006;meanEnergy=288.887;meanBiomass=3329.655;nGenes=21;nSites=27
energy=270;biomass=7350;fitness=9350;lowestEnergy=0;highestEnergy=988;meanEnergy=251.726;meanBiomass=3700.980;nGenes=20;nSites=28
energy=257;biomass=7200;fitness=9200;lowestEnergy=0;highestEnergy=998;meanEnergy=266.929;meanBiomass=3960.500;nGenes=20;nSites=22
energy=173;biomass=9160;fitness=11160;lowestEnergy=0;highestEnergy=984;meanEnergy=239.824;meanBiomass=4549.185;nGenes=20;nSites=22
energy=350;biomass=7100;fitness=9100;lowestEnergy=0;highestEnergy=980;meanEnergy=292.477;meanBiomass=3789.985;nGenes=20;nSites=29
energy=328;biomass=7040;fitness=9040;lowestEnergy=0;highestEnergy=978;meanEnergy=270.855;meanBiomass=3464.313;nGenes=20;nSites=25
energy=303;biomass=7500;fitness=9500;lowestEnergy=0;highestEnergy=988;meanEnergy=268.663;meanBiomass=4043.473;nGenes=20;nSites=24
energy=252;biomass=7060;fitness=9060;lowestEnergy=0;highestEnergy=988;meanEnergy=273.731;meanBiomass=3513.948;nGenes=20;nSites=22
energy=252;biomass=7610;fitness=9610;lowestEnergy=0;highestEnergy=996;meanEnergy=284.489;meanBiomass=3655.832;nGenes=21;nSites=24
energy=259;biomass=7070;fitness=9070;lowestEnergy=0;highestEnergy=976;meanEnergy=221.954;meanBiomass=3625.187;nGenes=23;nSites=25
energy=398;biomass=7170;fitness=9170;lowestEnergy=0;highestEnergy=984;meanEnergy=265.730;meanBiomass=3456.997;nGenes=20;nSites=17
energy=368;biomass=8850;fitness=10850;lowestEnergy=0;highestEnergy=979;meanEnergy=278.292;meanBiomass=5099.080;nGenes=21;nSites=26
energy=332;biomass=11670;fitness=13670;lowestEnergy=0;highestEnergy=1002;meanEnergy=267.463;meanBiomass=6562.574;nGenes=21;nSites=26
energy=303;biomass=14260;fitness=16260;lowestEnergy=0;highestEnergy=1003;meanEnergy=274.579;meanBiomass=7590.510;nGenes=20;nSites=29
energy=219;biomass=17130;fitness=19130;lowestEnergy=0;highestEnergy=985;meanEnergy=266.055;meanBiomass=9959.475;nGenes=19;nSites=13
energy=115;biomass=16500;fitness=18500;lowestEnergy=0;highestEnergy=996;meanEnergy=251.522;meanBiomass=8790.270;nGenes=19;nSites=11
energy=205;biomass=17150;fitness=19150;lowestEnergy=0;highestEnergy=1011;meanEnergy=248.310;meanBiomass=9660.230;nGenes=19;nSites=12
